,literal,inicio,fim,varinicio,varfim,inteiro,real,leia,escreva,se,fimse,pt_v,id,vir,lit,num,atr,opa,ab_p,fc_p,então,opr,$,P,V,A,L,LV,D,TIPO,ES,ARG,CMD,LD,OPRD,COND,CAB,CP,EXP_R
11,s7,E11,E11,E11,s8,s5,s6,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,60,11,12,E11,E11,E11,E11,E11,E11,E11,E11,E11
12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,s15,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,13,E12,11,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12
13,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,s14,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,11,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13
14,r6,E14,E14,E14,r6,r6,r6,E14,E14,E14,E14,E14,E14,E14,E14,E14,E14,E14,E14,E14,E14,E14,E14,E14,E14,E14,E14,E14,11,E14,E14,E14,E14,E14,E14,E14,E14,E14,E14
15,E15,E15,E15,E15,E15,E15,E15,E15,E15,E15,E15,r8,E15,s16,E15,E15,E15,E15,E15,E15,E15,E15,E15,E15,E15,E15,E15,E15,11,E15,E15,E15,E15,E15,E15,E15,E15,E15,E15
16,E16,E16,E16,E16,E16,E16,E16,E16,E16,E16,E16,E16,s15,E16,E16,E16,E16,E16,E16,E16,E16,E16,E16,E16,E16,E16,45,E16,11,E16,E16,E16,E16,E16,E16,E16,E16,E16,E16
17,E17,E17,E17,E17,E17,E17,E17,E17,E17,E17,E17,E17,E17,E17,E17,E17,E17,E17,E17,E17,E17,E17,r12,E17,E17,E17,E17,E17,11,E17,E17,E17,E17,E17,E17,E17,E17,E17,E17
18,E18,E18,E18,E18,E18,E18,E18,E18,E18,E18,E18,E18,E18,E18,E18,E18,E18,E18,E18,E18,E18,E18,r32,E18,E18,E18,E18,E18,11,E18,E18,E18,E18,E18,E18,E18,E18,E18,E18
19,E19,E19,E19,E19,E19,E19,E19,E19,E19,E19,E19,E19,E19,E19,E19,E19,E19,E19,s20,E19,E19,E19,E19,E19,E19,E19,E19,E19,11,E19,E19,E19,E19,E19,E19,E19,E19,E19,E19
20,E20,E20,E20,E20,E20,E20,E20,E20,E20,E20,E20,E20,s21,E20,E20,s22,E20,E20,E20,E20,E20,E20,E20,E20,E20,E20,E20,E20,E20,E20,E20,E20,E20,E20,23,E20,E20,E20,26
